"KEY","English","Norwegian","Portuguese","Spanish","French","Chinese","German","Polish","Vietnamese"
"Language.LocalisedName","English","Norsk","Português","Español","Français","简体中文","Deutsch","Polski","Tiếng Việt"
"Advertising.UnityAds.WatchForCoins.Button","Free Coins","Gratis Penger","Moedas Grátis","monedas gratis","Pièces gratuites","免费金币","Gratis Münzen","Darmowe monety","Xu miễn phí"
"Advertising.UnityAds.WatchForCoins.Finished","You now have {0} extra coins.","Du nå har {0} ekstra mynter.","Você tem {0} moedas extras.","Tienes {0} monedas extra.","Vous avez gagné {0} pièces supplémentaires.","你现在拥有{0}额外金币.","Du hast {0} Extra-Münzen.","Masz teraz {0} dodatkowych monet.","Bạn được nhận thêm {0} xu"
"Advertising.UnityAds.WatchForCoins.Skipped","Please watch the whole video to get coins.","Vennligst se hele videoen for å få penger.","Por favor assista todo o video para ganhar moedas","Por favor, ver el vídeo entero para ganar monedas","Regardez la vidéo pour gagner des pièces.","你需要观看完整视频才能获取金币.","Bitte gucke das ganze Video für Gratismünzen.","Obejrzyj całe wideo aby dostać monety.","Bạn phải xem hết video để được nhận xu"
"Advertising.UnityAds.UnableToShow","Unable to load adverts!
Please try again later.","Kunne ikke laste reklame!
Prøv igjen senere.","Impossível carregar anúncios!
Por Favor tente mais tarde.","No se puede cargar anuncios! 
","Impossible de visualiser la vidéo.
Réessayer plus tard.","无法加载广告!
请稍后再试.","Kann kein Video laden.","Błąd wczytywania reklam.
Spróbuj ponownie później.","Không tải được quảng cáo!
Vui lòng thử lại sau."
"Billing.NotInitialised","Billing not accessible. Please check settings and try again later.","Kjøp ikke tilgjengelig. Vennligst sjekk innstillingene og prøv igjen senere.","Compra nao acessível. Por Favor verifique as configurações e tente mais tarde.","Por favor, inténtelo de nuevo más tarde.","Le paiement est inaccessible. Vérifiez vos paramètres et réessayez.","账单无法访问. 请检查设置并稍后再试.","Bazahlung nicht möglich. Einstellungen überprüfen.","Brak połączenia ze sklepem. Sprawdź ustawienia i spróbuj ponownie później.","Không kết nối được với máy chủ. Vui lòng kiểm tra cài đặt và thử lại sau."
"Billing.NotAvailable","Unable to purchase.

Either the item is not found or is not currently available for purchase.

Please try again later.","Kjøp ikke gjennomførbart.

Varen er enten ikke funnet eller midlertidig utilgjengelig.

Vennligst prøv igjen senere.  ","Impossivel realizar a compra.

O item não foi encontrado ou não esta disponível para compra.

Por Favor tente mais tarde.","Imposible de hacer la compra.

El artículo no se ha encontrado o no está disponible para compra.

Por favor, inténtelo de nuevo más tarde.","L'achat n'est pas disponible. 

Cet article n'a pas été trouvé ou n'est pas disponible pour l'achat actuellement.

Veuillez essayer ultérieurement.","无法购买.

要么是商品没有找到或者当前无法购买.

请稍后再试.","Kauf nicht möglich.","Nie można dokonać zakupu.

Nie znaleziono przedmiotu lub jest chwilowo niedostępny.

Spróbuj ponownie później.","Không thể thực hiện giao dịch.

Vật phẩm không tồn tại hoặc không còn bán nữa.

Vui lòng thử lại sau."
"Billing.RestoreSucceeded","Purchases have been restored.","Kjøp gjenopprettet.","A compra foi restaurada","La compra fue restaurada","Vos achats ont été réinstallés.","购买已经被恢复","Einkäufe wurden wiederhergestellt.","Zakupy zostały odtworzone.","Các giao dịch đã được khôi phục thành công."
"Billing.RestoreFailed","Unable to restore purchases.","Kunne ikke gjenopprette kjøp.","Impossível restaurar compra","No se puede restaurar la compra","Impossible de réinstaller vos achats.","无法恢复购买","Wiederherstellung der Einkäufe nicht möglich.","Nie można odtworzyć zakupów","Không thể khôi phục giao dịch cũ."
"Button.Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Hủy"
"Button.Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok"
"Button.Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Đồng ý"
"Button.No","No","No","No","No","No","No","No","No","Không"
"Button.Unlock","Unlock","Unlock","Unlock","Unlock","Unlock","Unlock","Unlock","Unlock","Mở khóa"
"Button.Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Mua"
"Facebook.Logout","Logout","Logg ut","Sair","dejar","Déconnexion.","登出","Abmeldung","Wyloguj","Đăng xuất"
"Facebook.Reconnect","Reconnect","Tilkobler","Reconectar","reconexión","Reconnexion.","重新连接","Neue Verbindung","Nawiązywanie połączenia","Kết nối lại"
